date,nodes_active_est,latency_ms_avg,uptime_ratio_avg,success_ratio_avg,proxy_activity_sum
2025-10-28,,,,,
2025-10-29,,,,,
2025-10-30,,,,,
2025-10-31,,,,,
2025-11-01,,,,,
2025-11-02,,,,,
